scope,model_name,seed,fold_id,test_subject,true_class,pred_class,count
fold,feature_random_forest_v1,42,1,1,0,0,16
fold,feature_random_forest_v1,42,1,1,0,1,2
fold,feature_random_forest_v1,42,1,1,0,2,2
fold,feature_random_forest_v1,42,1,1,0,3,0
fold,feature_random_forest_v1,42,1,1,0,4,0
fold,feature_random_forest_v1,42,1,1,1,0,0
fold,feature_random_forest_v1,42,1,1,1,1,19
fold,feature_random_forest_v1,42,1,1,1,2,1
fold,feature_random_forest_v1,42,1,1,1,3,0
fold,feature_random_forest_v1,42,1,1,1,4,0
fold,feature_random_forest_v1,42,1,1,2,0,0
fold,feature_random_forest_v1,42,1,1,2,1,3
fold,feature_random_forest_v1,42,1,1,2,2,17
fold,feature_random_forest_v1,42,1,1,2,3,0
fold,feature_random_forest_v1,42,1,1,2,4,0
fold,feature_random_forest_v1,42,1,1,3,0,3
fold,feature_random_forest_v1,42,1,1,3,1,4
fold,feature_random_forest_v1,42,1,1,3,2,0
fold,feature_random_forest_v1,42,1,1,3,3,10
fold,feature_random_forest_v1,42,1,1,3,4,3
fold,feature_random_forest_v1,42,1,1,4,0,0
fold,feature_random_forest_v1,42,1,1,4,1,0
fold,feature_random_forest_v1,42,1,1,4,2,0
fold,feature_random_forest_v1,42,1,1,4,3,0
fold,feature_random_forest_v1,42,1,1,4,4,20
fold,feature_linear_svm_v1,42,1,1,0,0,2
fold,feature_linear_svm_v1,42,1,1,0,1,1
fold,feature_linear_svm_v1,42,1,1,0,2,12
fold,feature_linear_svm_v1,42,1,1,0,3,0
fold,feature_linear_svm_v1,42,1,1,0,4,5
fold,feature_linear_svm_v1,42,1,1,1,0,0
fold,feature_linear_svm_v1,42,1,1,1,1,20
fold,feature_linear_svm_v1,42,1,1,1,2,0
fold,feature_linear_svm_v1,42,1,1,1,3,0
fold,feature_linear_svm_v1,42,1,1,1,4,0
fold,feature_linear_svm_v1,42,1,1,2,0,0
fold,feature_linear_svm_v1,42,1,1,2,1,4
fold,feature_linear_svm_v1,42,1,1,2,2,7
fold,feature_linear_svm_v1,42,1,1,2,3,9
fold,feature_linear_svm_v1,42,1,1,2,4,0
fold,feature_linear_svm_v1,42,1,1,3,0,0
fold,feature_linear_svm_v1,42,1,1,3,1,0
fold,feature_linear_svm_v1,42,1,1,3,2,0
fold,feature_linear_svm_v1,42,1,1,3,3,10
fold,feature_linear_svm_v1,42,1,1,3,4,10
fold,feature_linear_svm_v1,42,1,1,4,0,1
fold,feature_linear_svm_v1,42,1,1,4,1,0
fold,feature_linear_svm_v1,42,1,1,4,2,0
fold,feature_linear_svm_v1,42,1,1,4,3,1
fold,feature_linear_svm_v1,42,1,1,4,4,18
fold,rescnn_bigru_attention_lite_v1,42,1,1,0,0,0
fold,rescnn_bigru_attention_lite_v1,42,1,1,0,1,4
fold,rescnn_bigru_attention_lite_v1,42,1,1,0,2,9
fold,rescnn_bigru_attention_lite_v1,42,1,1,0,3,1
fold,rescnn_bigru_attention_lite_v1,42,1,1,0,4,6
fold,rescnn_bigru_attention_lite_v1,42,1,1,1,0,0
fold,rescnn_bigru_attention_lite_v1,42,1,1,1,1,19
fold,rescnn_bigru_attention_lite_v1,42,1,1,1,2,1
fold,rescnn_bigru_attention_lite_v1,42,1,1,1,3,0
fold,rescnn_bigru_attention_lite_v1,42,1,1,1,4,0
fold,rescnn_bigru_attention_lite_v1,42,1,1,2,0,0
fold,rescnn_bigru_attention_lite_v1,42,1,1,2,1,0
fold,rescnn_bigru_attention_lite_v1,42,1,1,2,2,20
fold,rescnn_bigru_attention_lite_v1,42,1,1,2,3,0
fold,rescnn_bigru_attention_lite_v1,42,1,1,2,4,0
fold,rescnn_bigru_attention_lite_v1,42,1,1,3,0,0
fold,rescnn_bigru_attention_lite_v1,42,1,1,3,1,0
fold,rescnn_bigru_attention_lite_v1,42,1,1,3,2,3
fold,rescnn_bigru_attention_lite_v1,42,1,1,3,3,6
fold,rescnn_bigru_attention_lite_v1,42,1,1,3,4,11
fold,rescnn_bigru_attention_lite_v1,42,1,1,4,0,0
fold,rescnn_bigru_attention_lite_v1,42,1,1,4,1,0
fold,rescnn_bigru_attention_lite_v1,42,1,1,4,2,0
fold,rescnn_bigru_attention_lite_v1,42,1,1,4,3,0
fold,rescnn_bigru_attention_lite_v1,42,1,1,4,4,20
fold,tcn_literature_v1,42,1,1,0,0,0
fold,tcn_literature_v1,42,1,1,0,1,19
fold,tcn_literature_v1,42,1,1,0,2,1
fold,tcn_literature_v1,42,1,1,0,3,0
